Date,Count
2009-01-01,114
2009-01-02,141
2009-01-03,115
2009-01-04,109
2009-01-05,136
2009-01-06,140
2009-01-07,119
2009-01-08,104
2009-01-09,124
2009-01-10,126
2009-01-11,91
2009-01-12,114
2009-01-13,119
2009-01-14,110
2009-01-15,104
2009-01-16,99
2009-01-17,98
2009-01-18,127
2009-01-19,97
2009-01-20,99
2009-01-21,110
2009-01-22,109
2009-01-23,120
2009-01-24,104
2009-01-25,97
2009-01-26,145
2009-01-27,124
2009-01-28,95
2009-01-29,115
2009-01-30,109
2009-01-31,97
2009-02-01,102
2009-02-02,103
2009-02-03,106
2009-02-04,83
2009-02-05,106
2009-02-06,114
2009-02-07,89
2009-02-08,81
2009-02-09,115
2009-02-10,94
2009-02-11,105
2009-02-12,91
2009-02-13,101
2009-02-14,72
2009-02-15,73
2009-02-16,82
2009-02-17,92
2009-02-18,108
2009-02-19,96
2009-02-20,84
2009-02-21,93
2009-02-22,90
2009-02-23,83
2009-02-24,99
2009-02-25,105
2009-02-26,103
2009-02-27,99
2009-02-28,75
2009-03-01,57
2009-03-02,106
2009-03-03,94
2009-03-04,80
2009-03-05,93
2009-03-06,102
2009-03-07,87
2009-03-08,80
2009-03-09,108
2009-03-10,99
2009-03-11,95
2009-03-12,95
2009-03-13,102
2009-03-14,93
2009-03-15,74
2009-03-16,108
2009-03-17,102
2009-03-18,107
2009-03-19,107
2009-03-20,111
2009-03-21,84
2009-03-22,97
2009-03-23,119
2009-03-24,110
2009-03-25,128
2009-03-26,108
2009-03-27,88
2009-03-28,84
2009-03-29,97
2009-03-30,112
2009-03-31,105
2009-04-01,104
2009-04-02,116
2009-04-03,130
2009-04-04,119
2009-04-05,76
2009-04-06,90
2009-04-07,104
2009-04-08,107
2009-04-09,94
2009-04-10,104
2009-04-11,90
2009-04-12,66
2009-04-13,100
2009-04-14,90
2009-04-15,96
2009-04-16,105
2009-04-17,104
2009-04-18,110
2009-04-19,99
2009-04-20,126
2009-04-21,99
2009-04-22,99
2009-04-23,116
2009-04-24,106
2009-04-25,102
2009-04-26,83
2009-04-27,102
2009-04-28,101
2009-04-29,123
2009-04-30,114
2009-05-01,114
2009-05-02,101
2009-05-03,90
2009-05-04,108
2009-05-05,117
2009-05-06,112
2009-05-07,122
2009-05-08,115
2009-05-09,83
2009-05-10,123
2009-05-11,109
2009-05-12,110
2009-05-13,86
2009-05-14,108
2009-05-15,94
2009-05-16,98
2009-05-17,85
2009-05-18,122
2009-05-19,111
2009-05-20,110
2009-05-21,107
2009-05-22,113
2009-05-23,114
